Category,Features,Analysis Description (Incl.What to Look For As A Question),Sample Tagging,Notes
Image Type & Composition,Image Style,"What style imagery is used most frequentyly in the asset, from the sample tagging provided?",Lifestyle (e.g. featuring people); Product lie flat; Product in use; Product on-model,
Image Type & Composition,Lifestyle Scene,"If lifestyle creative, how would you decribe the scene?",,
Image Type & Composition,Packshot Imagery,Does the creative containt product-only imagery?,image_type: packshot,
,,,background: white | solid_color | transparent,
Image Type & Composition,Product In Use,Does the creative feature the product in use?,usage: in_use,How-to tile included ATF
,,,interaction: hand | full_body | passive_display,
Image Type & Composition,Before & After,Does the creative feature a before & after asset?,before_after: true | false,
Image Type & Composition,Benefit-Led,Does the PDP feature a benefit tile?,benefit_tile: true | false,
Image Type & Composition,Education,Does the creative include a shade-finder?,education: [,
,,,"  ""shade_finder"",",
,,,"  ""how_it_works"",",
,,,"  ""comparison_chart"",",
,,,"  ""routine_step"",",
,,,"  ""none""",
,,,],
Image Type & Composition,Background Color,What color is used in the background of the creative?,"background_color: ""white"" | ""black"" | ""gray"" | ""beige"" | ""brown"" |",
,,,"                  ""red"" | ""orange"" | ""yellow"" | ""green"" | ""blue"" |",
,,,"                  ""purple"" | ""pink"" | ""multi"" | ""gradient""",
Image Type & Composition,Product Category,What category of product does the creative relate to?,"E.g. for a beauty brand, categories may include the following: lip; foundation; moisturizer; eye; etc",
Image Type & Composition,Model Gender,"If a model is used, what is their inferred gender?",,
Image Type & Composition,Asset Type,What type of creative asset is this between the sameple tagging types provided? ,paid advertisement; product image carosel; retail product detail page; retail brand store; DTC website homepage; DTC product detail page; DTC category page; etc,
,,,,
,,,asset_type:,
,,,"  ""amazon_pdp"" |",
,,,"  ""amazon_image_carousel"" |",
,,,"  ""amazon_a_plus"" |",
,,,"  ""brand_store"" |",
,,,"  ""paid_ad_banner"" |",
,,,"  ""paid_ad_video"" |",
,,,"  ""d2c_homepage"" |",
,,,"  ""d2c_pdp"" |",
,,,"  ""other""",
Image Type & Composition,Model Demo,"If a model is used, how would you decribe the model demongraphically?",,
Image Type & Composition,Fragrance SKU,"If the creative is for Fragrance, is an ingredient tile featured?",,To highlight scent and notes of Fragrance in ATF
Text & Messaging Pressence,Text Overlay,"Is text overlaid on the creative, yes or no?","text_overlay: true | false,",
,,,"text_density: ""low"" | ""medium"" | ""high""",
Text & Messaging Pressence,Overlay Text Content,What is a summary of the text that is overlaid?,"text_summary: ""short summary"",",
